Gene,t_0m_total_readcount_donor1_rep1,t_15m_total_readcount_donor1_rep1,t_30m_total_readcount_donor1_rep1,t_60m_total_readcount_donor1_rep1,t_90m_total_readcount_donor1_rep1,t_105m_total_readcount_donor1_rep1,t_120m_total_readcount_donor1_rep1,t_0m_total_readcount_donor1_rep2,t_15m_total_readcount_donor1_rep2,t_30m_total_readcount_donor1_rep2,t_60m_total_readcount_donor1_rep2,t_90m_total_readcount_donor1_rep2,t_105m_total_readcount_donor1_rep2,t_120m_total_readcount_donor1_rep2
ENSG00000134780,573,641.25,771,459.5,413,714,590,450,546,1242,371,460,623,679
ENSG00000124920,339,233,324,219,207,208,218,246,205,577,123,256,218,281
ENSG00000168496,919,898,856,634.5,567,704,627,646,726,841,592,587,538,727
ENSG00000110104,1041.5,827,919.5,555,572,746.5,617,593,835,1550.5,398,633,630.5,784.5
ENSG00000149506,2,0,0,0,2,1,0,1,0,3,0,0,0,0
ENSG00000110108,4317.5,4435,4395.5,3204.5,3104,4550,3392,3159.5,3940,5630,2412,3728,3428,4678
ENSG00000006118,3644.5,4389,4601.5,4506,3188,5122,4050,3740.5,3475,11764.5,3605,5071,3474,4453
ENSG00000162174,285,346,281,158,220,303,189,234,261,236,182,297.5,206,317
ENSG00000167323,9796.2262,8609.8333,10170.1667,7201.5,8320.1429,9491.6667,8152,6527.35,8037.1667,10703.3333,6067,8354.5,7673.6667,9943.8333
ENSG00000167325,1678,1442,1271.5,845,1246,1247,903,1073,1314,594,1018,1160,1292,1617
ENSG00000181963,16,12,10,5,2,8,8,24,18,14,2,10,5,10
ENSG00000070081,890.1667,707,763,367.1667,694,598,490,562,906,240,440,576,687,922.5
ENSG00000188211,2454,1497,2196,3310,6303,5843,4166,1463,1545,921,3511,5289,5734.5,5694
ENSG00000188162,0,0,1.5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
ENSG00000129159,195,194,225,106,106,91,83,132,286,231,167.5,79,78,130
ENSG00000166796,1,0,0,0,0,0,0,0,2,3,0,0,0,0
ENSG00000166800,75,51,57,19,44,43,54,49,62,105,39,32,33,69
