Gene,t_0m_total_readcount_donor1_rep1,t_15m_total_readcount_donor1_rep1,t_30m_total_readcount_donor1_rep1,t_60m_total_readcount_donor1_rep1,t_90m_total_readcount_donor1_rep1,t_105m_total_readcount_donor1_rep1,t_120m_total_readcount_donor1_rep1,t_0m_total_readcount_donor1_rep2,t_15m_total_readcount_donor1_rep2,t_30m_total_readcount_donor1_rep2,t_60m_total_readcount_donor1_rep2,t_90m_total_readcount_donor1_rep2,t_105m_total_readcount_donor1_rep2,t_120m_total_readcount_donor1_rep2
ENSG00000170689,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000267261,7864,4753,7564,2786,5776,6170.5,5711.5,2441,6461,5048.5,2101,3617,5518,7391
ENSG00000108774,28708.5,24124,29074,16358,20638,27325.5,22423.5,15376.5,24803.5,20796.2333,15843,21407.5,24685.5,31267.5
ENSG00000089558,48,43,51,31,28,27,31,34,57,113,33,37,36,31
ENSG00000167925,647,675,702,616,401,718,571,598,490,1548,395,724,470,733
ENSG00000173801,2603,1950,2349.5,1380,1252,1540,1477,1342,1924,3309,1126,958,1108,1767
ENSG00000141696,3,7,6,2,1,14.3333,5,4,4,1,13,10,0.3333,0
ENSG00000141698,934,905,817,605,607,874,598,577,679,806.5,578,649,624,780
ENSG00000178502,2289,2043,1947,1165,1456,1346,1251,1954,2095,1528,1495,1554,1540,2018.5
ENSG00000131473,30303.75,27461.3333,30544.5,19853.5,21554.5,27595.5,23015,17669,23715,24335.5,16064,19219.5,19865.25,25764.5
ENSG00000159210,3131,2669,2700.5,2067,2550,2835,2182.3333,2803,2612,3316.3667,1898,3487,2598,3118
ENSG00000167083,79.8,78,81,40,65,65,49,45,99,109,42,85,47.5,75
ENSG00000172992,1487,1212,1227.5,654,980,1079.5,890,915,1220,2120.7222,756,1071,1005.5,1185.25
ENSG00000161714,156,138,113,91,98,100,65,117,93,338,100,117,80,132
ENSG00000184361,1,11,3,12,4,9,15,9,2,28,4,17,9,5
ENSG00000006062,3195,2954,3495.5,2179,1221,1498,1119,2239.5,2784,5872.5,1643,1355,1128,1409
ENSG00000159314,4481.5,4485,4900.5,3427.5,2998,4669,3483,3733.5,4001.3333,11059,2706,3989,3022.5,4220
ENSG00000182963,8,2,3,7,15,13,3,5,8,19,2,7,4,16
ENSG00000108883,12543,11192.5,12441.6667,8413,10257,11258,10107.5,8512,10136.5,12418,7422,9376,8750.5,11846.5
ENSG00000131095,18,22,27,10,23,14,6,31,22,41,16,14,20,13
ENSG00000186185,211.5,157,175.5,84,58.2222,71,42,92,185,352.8,71,68,81,69
ENSG00000131094,0,0,0,0,0,4,0,0,0,4,0,0,0,0
ENSG00000179673,0,1,0,0,0,0,0,2,0,6,0,0,0,2
ENSG00000004897,7879.8333,6179.3333,7469.8333,3937.1667,6606.5,6449.8333,5687.1667,5107.5,7317.8333,1806.3333,4892.5,6079.8333,6375.0833,8660.9
ENSG00000006025,443,550,563,289,255,294,301,373,435,869,199,251,259,301
ENSG00000159111,2768.5,2201,2511,1565,1654,2087,1810,1514,1914,1453.5,1306,1576,1846,2292
ENSG00000141295,272,312,252.6667,183,170,170,156,259,205,493,126,278,144,189
ENSG00000166260,1056,940,756,654,716,714,600,1021,908,607,736,970,824,1177
ENSG00000108960,1158,1179,1150,1170,1543,1588,1373,1095,1026,558,1261,2005,1517,1981
ENSG00000214226,1075.7262,829.95,880.2167,715,595.0833,698.825,600.9679,718.6028,831.5167,1099.7833,706.25,763.9333,581.7333,812.6667
ENSG00000236383,1102.6667,721.1667,849.5,715.6667,1451,1090.5,951.8333,892.6667,863.6667,3687.8333,959,2119.9,1060.1667,1775
ENSG00000175832,67,59,53,21,47,54,26,33,64,151,27,39,38,60
ENSG00000005102,3,3,0,0,1,0,0,0,0,2,0,0.6667,1,0
ENSG00000108861,9346,7773.5,8439,7586,10759.8333,12996.3333,10960,6425,7392.6667,6150.9167,6867.5,10455,11089.3333,13982
ENSG00000013306,6797,6102,6300.5,4675.5,4679,6324,4754,4626,4769,11014.5,3266,4777,4215,5784
ENSG00000173065,5408,4376,5568,2550,3561,4380,4363,2696,5157,5511,2369,2722,4010,5911
ENSG00000132589,29704.8333,29283.5,31753.8333,23933.8333,26617.8333,37084.5667,29164.1667,21741.8333,24361.5,46902,17905,29465.4333,25958,35075.6667
ENSG00000167536,3222.5,3137.8333,3071.5,2369.5,2393.5,3300.5,3041.8333,2530,2696.5,4482.3333,1809,2997.5,2686,3611.5
ENSG00000109118,13730.5,10994.5,11969.5,5546.5,7811.2,10851.3333,11538,8109.5,11855.5,12102.5,4909,6746,9607,14372
ENSG00000063015,567,478,449,364,413,475,369,680,411.5,1321,478,681,393.5,602
ENSG00000068137,43,41,52,24,11,28,25,39,29.3333,141.6667,21,43,17,19
ENSG00000184451,33,17,41,15,11,13,5,25,20,129,10,2,10,25
ENSG00000108799,8999.6667,7409,8165.8333,5175,6318,7256,6038,6006,6851.5,7095.6667,5034,6463,6093,8163.5
ENSG00000183978,1348,1149,1200,752,840,1071,759.5,917,1128,561,718,941,1066,1243
ENSG00000126581,8043.6667,7778.5,7808.5,6052,6308,8034.5,5924,6939.5,6721,6612,6057,8493.5,6431.5,8416
ENSG00000108702,76,27,54,29,46,61,67,31,54,26,3,26,53,78
ENSG00000132141,108,81,75,51,81,51,37,63,71,34,50,80,83,66
ENSG00000092871,16245.5,13225.8333,14895.5,10169.6667,15446.3333,16078.8,13714.8,10321.3333,13818.3333,15153.0333,10414.8333,13747.8333,14322,18025.4667
ENSG00000267618,2734,1852.5,2402.8333,1516.25,2438.3333,2367.5,2079.6667,1523.6667,1943,2852.3333,1608,2057.6667,1890,2343.3333
ENSG00000185379,1590.5,1465.3333,1485.3333,999,1049.6667,1123,1081.6667,1427,1345,2196.8333,1028,1236.6667,938,1351.5
ENSG00000167699,3217,2685,2785.5,1811,2628.5,2742.5,2478,2384,2814.5,2074,1908,2999,2914,3454
ENSG00000167693,101,62,89.5,71,158,153,176,71,86,126.5,43,105,181,280
ENSG00000177302,4943.5,4353,4632,3332,3222.6667,3800,3682.5,3551.5,3833,6687.8333,2816.8333,3474,2893,3983
ENSG00000141741,2258,1727,2143,1129,1782,1814,1520,1479,1722,1802,1247,1669,1884,2202
ENSG00000161405,723,472,541,274,571,468,391,448.5,525.6667,650.8333,315,645,442,654
ENSG00000073605,1641,1764,1663,821.5,1070,1269,1186,1488,1607,2350,1060.5,1324.5,1297.5,1920
ENSG00000172057,5092,4570,5314,3199,3212,4896.5,4240,3713,4625,5625,2500,4212,3756,5058
ENSG00000008838,5199.5,4783.5,5432.5,3695.5,3624.5,5140.5,4512,3216,3625.1667,7357,2924,3595,3691,5185
ENSG00000141750,9,11,8,6,14,13,4,4,8,11.1429,3,3,2,14
ENSG00000108306,7623.354,6226.8111,7588.3667,4753.7222,6248,5701,4215.5,5763.7,7242.5,7193.0512,5476.3333,6584.2,5487.5,6410.625
ENSG00000125686,12501,10021,11758.1667,6169,9472,10445.3333,9549,6558.8333,11329.5,5474,6673,8594,9493.5,12837
ENSG00000171532,14,10,14,7,4,1,10,10,9,52,14,12,12,12
ENSG00000161395,652,759,778,635,477,753,506,695,403,1819,621,767,524,673
ENSG00000141298,13384.3333,11056.1667,12918,7710,9739,9472.8333,6681,8530.1667,12079,10613,7862,9338,8879.1667,8949
ENSG00000108576,28,41,61,19,40,26,23,30,54,104.75,25,23,50,42
ENSG00000108578,2314,2145,2083,1626,1674,1901,1665,1905,2136.5,1466,1539,2029,1760,2357
ENSG00000176390,4060,3373.5,3768.5,2380.5,3538.5,3034.5,2624.5,3064.5,3911,3150.25,2708,3512,3173,3958
ENSG00000073584,13409.5,10730.5,12365,5859.5,10477.5,11158,9588.5,7772.6667,13281,5523,7332.5,10383,12285.1667,15594.3333
ENSG00000161682,12,7,8,11,10,8,15,8,29,11,0,17,14,20
ENSG00000005961,9,9,14,7,8,10,0,8,4,22,0,16,3,11
ENSG00000186566,11624.5,9516,11842,5516.5,7439,9388,8215,6544,10808.5,8804,5858.5,6954,8502.5,11227
ENSG00000180329,2457,2213.3333,2320,1189,1581,1835,1466,1750,2333,1041,1403,1784,1642,2104
ENSG00000161654,5823,4395,5322.6667,2520.5833,4165.3333,4372.6667,4008.3333,3101.3333,5990,2345.8333,2691.1667,3682.8333,4919.5,6011.3333
ENSG00000108840,3159.5,3106.5,3696.5,2367,1848,2819,2163,2228.5,2682,6930,1876,2211,1931.5,2341
ENSG00000087152,8650.5,9266,9286,7025.5,5636.5,7882.5,6155,7886.5,8017,15911,6216,8158.5,6422,8739
ENSG00000108312,16079.5,14567.5,16564.5,8934,8447.5,10719,7619,9936.5,14943.5,25375.5,7161,9437.5,8612.5,10481
ENSG00000004939,6,0,2,0,0,0,10,2,1,31.5,0,2,2,2
ENSG00000005379,269,242,271,133,122,177,148,190,195,528,149,183,139,178
ENSG00000213246,6951.5,5547.5,6240,3540.5,4855.5,5220,4369,3830.5,6137,3624,3835,4562.5,5924,7280.5
ENSG00000285897,3862.5,2968,3421,1684,2897,2593,2379,1837,3577,2678,1783,2300,3139,4079
ENSG00000108375,91,92,119,44,53,83,33,72,90,204,49,44,49,73
ENSG00000176160,12,13,6,12,10,11,25,11,14,22,5,16,5,39
ENSG00000108821,350,286,330,262,180,225,223,217,290,818,128,173.5,194,261
ENSG00000108826,2496,1967,2207.5,1297,1644,1720,1450,1347,1806.5,1507,1296,1637,1681.5,2049
ENSG00000108829,6471,5842,6695,5182.5,5631,7311,6010.5,4675,5498,7451,4552,6272,5738,7366
ENSG00000069188,71.5,50,48,23,37,46,29,41,41,57,45,25,35,47
ENSG00000204347,0,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
ENSG00000178789,109,111,160,101,77,85,64,115,80,218,83,110,69,82
ENSG00000167850,2522,2236,2679,1746,1863.5,2575.5,2099,1549.5,2002.5,3307.5,1298,1693,1804.5,2281
ENSG00000284690,1644,969.5,1148,747,1288,1420,931.5,770,1148.5,2195,637,1396,943,1477
ENSG00000167117,12,16,1,1,6,4,2,8,7,29,7,5,3,7
ENSG00000141232,2311,1686.5,2110,859,1161,1271,975,1222,1988,1272.5,1131,1212,1260,1334
ENSG00000008294,16814.5,14539,15580.5,10750.5,17146,20610.5,16924.5,12521.5,14309.5,11069.5,11840,19514.5,19498,26239.8333
ENSG00000011258,3174,3009,3164.5,2017,1933,2196,1798,2926.3333,2878,3310.1667,2229,2778,1858.5,2791.3333
ENSG00000154975,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
ENSG00000161513,645,743,723,646,371,511,494,612,589,1748.5,390,560,345,482
ENSG00000172782,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000182040,0,0,0,0,0,4,0,NA,NA,NA,NA,NA,NA,NA
ENSG00000167861,0,0,1,0,7,1,0,2,0,0,1,9,0,0
ENSG00000167863,3279.5,2771.8333,2760.5,1983.5,2443.8333,2620,2136.5,2625.7917,2754,2007.2639,2368,3451.0833,2806,4015
ENSG00000125695,2862.5,2054.5,2609.5,1208.5,2068,1894.5,1611,1335.3333,2091.3333,3403.5,1130,1413.5,1606.5,2116
ENSG00000108588,10529.3333,9997.8333,10644.8333,6877,8928,10352,8320.5,8433.5,9182,6431,7824,11262,10130,13099
ENSG00000108592,5853.5,5067.6667,5591,3540.5,4002.5,5147,4171.5,4057,5036,6458,3481.5,5132,4179.5,5496.5
ENSG00000136457,137,116,114,80,23,41,34,199,97,248,79,45,27,32
ENSG00000154945,6499,5425,5951,3705,4903.5,5000.5,4693,4407,6744.5,4200,3978.5,4945.3333,5401.5,7180
ENSG00000173868,41,37,45,21,25,25,16,76,43,116,20,25,21,22
ENSG00000198740,4619.5,3898.25,4158.5,2442,2764,2397,2086,3528,4392.25,2587.1667,2770.5,2634,2472,3025.6667
ENSG00000167085,3796,3720.5,3793,2793.5,2785.5,3649.5,2971.5,2948.4,3018,3757,3023,3998.5,2901,3923
ENSG00000121067,7043.6667,6505.55,7104.5,4339.5,4840.4,5337.5,4422.75,5145.5,6648.5,5000,4981,5000.5,4941.85,6436.9
ENSG00000121073,2120,1803,1836,1274,1868,2077,1521,1458,1775,1158,1146,1701,1727,2334
ENSG00000168259,30841.25,24744.5,27535.6667,17513,23554,23882.1667,20015.5,21884.5,25023.5,24821.2917,20472,27651,23062.1667,29161.5
ENSG00000187595,202,170,151,108,154,186,123,198.5,177,202,100,174,125,173
ENSG00000267221,60,72,55,40,13,39,17,56,59,108,40,48,24,42
ENSG00000108771,26032.5,21353.3333,22605,17221.5,18452.5,25885.5,23639.5,15853.5,17357,28332.5,13063,17945,18163,25176.3333
ENSG00000108773,867,807.5,850,616,504,731,573,571,659,1314,417,633,559,694
ENSG00000285947,0,0,0,0,1,0,0,0,0,0,0,3,0,3
ENSG00000108389,8606,7923,8033,5473.5,6770,7935,7049.5,6192.5,6649.5,7422,4762,5870.5,6263,8483
ENSG00000108387,22,44,23,18,27,76,21,21,26,30,1,21,59,50
ENSG00000121101,24,22,12,5,29,36,32,17,15,19,4,35,30,38
ENSG00000176358,85.5,36,78,37,62,80,45,38,61,172,10,14,48,58.5
ENSG00000167100,807,908,820,589,481,737,616,682,704,1906,593,763,564,683
ENSG00000108819,37715,38722.5,39886.5,26716.5,18360,25039,19901.5,32692,38433.5,92290.3333,22373,28153.5,20219.5,27819
ENSG00000126368,823,593,902,434,500,503,305,426,545,868,378,360,351,470
ENSG00000183153,378,379,411,325,330,516,368,334,296,718,199,497,357,485
ENSG00000131747,1168,1021.5,987,513,663,635.5,519,999.5,1013,451,585,578,595,670
ENSG00000131746,1,2,1,0,6,0,6,3,0,0,0,2,3,0
ENSG00000126353,91235,68806.8333,82532.5,59013.5,84834.8333,111909.25,99927,48329.5,62496.5,75639,51217.5,70957,87394.1667,125664
ENSG00000121060,31092.5,22990,26952.5,19628.5,18119.5,21191.5,17022.5,22422.5,24026,27472,19139,20685.8333,18091,22116.5
ENSG00000121058,1909.5,1639,1800,991,1273,1459,1227,1198.5,1838,833,1161,1471,1375,1897
ENSG00000181610,1196,1227,1056,841,949.25,1107,730,1236,1057,856,866,1217,872,1211
ENSG00000180891,2138,2039,2162,1613,1202.5,1455,1163,1785,1623.5,4713.2857,1084,1593,1056,1387
ENSG00000007312,19,18,14,13,8,17,8,13,15,13,0,14,13,15
ENSG00000007314,0,0,0,0,0,0,4,1,0,0,0,8,0,0
ENSG00000108622,283,265,296,221,217,222,140,189,177,266,220,209,171,257
ENSG00000178607,10332,8735,10567.5,9572,12276,12081.5,8307,8185,8723,11887.6667,9256.5,13094.25,10245.3333,10928.7
ENSG00000136478,3921,3230,3709.5,2082,2651.3333,2585,2162,2304,3611,3072.5,1923,2293,2477,2802
ENSG00000108395,2041.5,1829,2106,1161,1480.5,1604.5,1409.5,1429.5,1841.5,972,1237,1473.5,1478,1797.5
ENSG00000136451,6631,5088,5827.5,3109.5,4905,5068.5,3869.5,3564,5159,2121,3452.5,4248,4898.5,5896.5
ENSG00000266086,6362,6264,6149,5746,5266,6013,4757,6193,5173,3786,6027,7787,4577,6416
ENSG00000136450,13126,13091,12663,10795,10828,11853,9698,13231,11876,6102,12539,15706.5,10509,13471.5
ENSG00000011143,274.0357,256.75,257.1607,186.75,176.9167,198.5,130,205.6667,232,352.0357,102,167.45,202.75,239.25
ENSG00000005381,87,60,53,45,49,67,51,63,41,85,31,62,38,65
ENSG00000182628,1466.5,1129,1118,667,1107,1040,779,1050,1401.5,580,745.5,1272,1149,1602
ENSG00000141378,3718,3011.5,2950,1525,2907,2553,2281,2356,3362,1581,1725,2384,2444,3249
ENSG00000108423,655,555,516,389.5,433,388,444,533.5,537.5,597.8,379,516.1667,458,774
ENSG00000189050,2306.8333,2284.8333,1930,1575.6667,1855,1831,1376.6667,2547,2202.6667,1318.8333,2139,2789.5,1977,2323.5
ENSG00000068097,8866.2873,7012.1833,8056.0024,4098.2571,5644.5706,5763.3103,5411.3306,5559.9825,7181.0333,5133.2738,3828.1786,4589.3167,5529.5024,6842
ENSG00000276409,2599,1721,2313,1559,2562,2313,2079,1247,1883,2179,1486,2033,2321,2972
ENSG00000275688,34952.5,28226.5,28947,19939,34990,33773.5,26108.5,21558.8333,28035.5,17522,21063,34326,31699.5,48562
ENSG00000275718,43964.5,34073,36811.5,23861,43724.5,41527.5,33339.5,27871.8333,36525.5,29575.5,26369,42817.5,41141,61407.5
ENSG00000274736,12234.5,10339.5,10459.5,7835.5,11287,13267.5,9795,7271.5,8825.5,5633,7318,10134,10803,13126.5
ENSG00000277632,47311,53868,78592.5,117875.1667,122591.6667,116199,78186,39080,51330,55901,121776.5,154014.8333,108700.5,117202.5
ENSG00000121104,1480.5,1104.5,1441,763.5,1178,1874.5,2037,702,1067,1504,664.5,1069.5,1373,2370
ENSG00000267426,1765.3333,1487.5,1779,1011,1139,1347.5,1191,1026,1286,3155,756,897,998.5,1460
ENSG00000188878,440,490,512,308,357,432.5,314.5,333,360,1219,282,322,332.5,486.5
ENSG00000161533,10215.5,9451,10115,6598,7908,8016.5,6893,8034.5,9195,8311,6546,8183.5,7441.5,9170
ENSG00000167880,6,5,8,0,4,1,10,4,7,36,29,14,10,2
ENSG00000167881,6853.5,6513.5,6350.5,4657.5,5447.5,6252,5232,4849,5994.5,4873.5,4438.5,5710.5,5443.5,7335
ENSG00000182473,15005,13669.5,15382.3333,10859.5,11102.5,15372.8333,13111,9773,11829.8333,21307,8618.5,11650,10969,14655
ENSG00000129654,1,0,4,10,6,12,4,1,0,0,0,4,4,8
ENSG00000141576,22,6,14,5,26,32,2,6,23,36.0833,21,17,27.5,22
ENSG00000129646,624.5,588,653,290.75,244,341,367,463,467,1153,352.5,357,316,430
ENSG00000125458,1167,1224,1271.6667,817.5,759,1434,1115.3333,950.5,1019,1933,688,1066,909,1345
ENSG00000189159,2460,1848,2129.5,1417,1653,1674,1478,1557,1930,1772,1285,1911,1637,2159
ENSG00000188612,14510.3333,12926.8333,12818.1667,8619.3333,11416.0833,13185.5333,10066.9167,10286.3167,14270.3333,4496.2452,10014.4833,13869.6833,14866.15,18567
ENSG00000125447,10166.3333,9302.3333,10259,6429.5,6531,8106,7126,6719.5,8791.3333,13331.5,5407,6362.5,6605.5,8922.5
ENSG00000125457,1230.5,1031.5,998,696,640,668,623,840.5,859,1117,450.5556,724,535,751
ENSG00000070731,68,55,90,45,79,112,71,30,45,68,54,82,98,112
ENSG00000170298,0.25,2.9167,0.3333,1.5,0.25,0,0,1.8333,7.75,22.9167,1.3333,0,1.4167,2.6667
ENSG00000124422,15950.5,14796.5,15295,11581,11187,13958.5,11128.3333,12510.5,13747.6667,19145,10878,13392,11138.5,14707
ENSG00000178307,1569,1321.5,1456,828,1060,1347,1182,951,1388,1212,683,926.5,1208,1586
ENSG00000274180,1149,1214,1304,1058,747,976,802.5,1022,1097,2171,765,816,715,1011
ENSG00000175155,9515,8346,8747,4964,6438,7918,7281,7704,8262,6643,4940,7108.5,7199,9916
ENSG00000108406,2391.5,2289,2320,1554,2148.5,2196,1839.5,1975,2422,1073.5,1929.5,2593.5,2320,2820.5
ENSG00000141367,45527,42712,43492.5,32601,41900,41698.3333,34476.5,40179,37312.5,22347.5,33800,44660.5,37660,45675
ENSG00000062716,99145.9762,91208.5,93186.3333,40962.8333,49729,51612,51434.5,80811.5,101871.2956,65914.1909,51168.9333,61705.5,58729.6111,81106.1111
ENSG00000108443,5334.5,4492,5035,2746.25,4007.5,3971.6667,3404.125,3728.5,4962,2231.5,3377,4194,4197,5288.5
ENSG00000251537,745,704.5,764.5,509.5,504,464.5,360,539.5,506.5,989.5,461,530.5,362.5,417.3333
ENSG00000221926,1176.5,1206,1188,886,715.5,756,585,1094,991.5,1414.5,874,1087.5,601.0333,744.5
ENSG00000214941,387,308,258,168,169,233,138,307,335,302.75,229,276,234,346
ENSG00000141027,36694,28415.1667,36004.5,17821,25709.8333,27839.5,22951,18790.8333,33527,20824.1667,17683.5,21129.5,25585.5,32776.25
ENSG00000166582,197.5,106,174.5,53.5,163,130,66,103.5,138,178,74.25,71,106,167
ENSG00000274808,9.5385,4.4381,8.7202,3.2321,6.7873,6.5214,2.0361,4.1179,5.1833,34.6643,4.3333,4.6321,3.731,4.8857
ENSG00000276085,550,493,1208,4533,8538,6940.3333,4360.5,263,481,686,4090.3333,7018,5938,5691.5
ENSG00000274933,55.2675,48.423,59.0246,31.9397,34.1579,43.4972,36.2095,41.8115,53.1365,117.4365,36.1794,38.7274,35.5024,64.5952
ENSG00000185813,1470,1498,1568.5,1050,952,1204,1008,1111,1148,2778.5,786,1201.5,847,1322.5
ENSG00000187531,3412,3957,3280,3061,2402,3549,2902,3791,2761,7382.5,2755,3907.5,2657.5,3588.5
ENSG00000197063,10937.5,11929,11397.5,11426,9389.5,12548.5,9677.5,11461,8903,18163.95,10367,14422.2857,9214,12258
ENSG00000173762,157,132,133,77,108,107,121,75,92,253,58,126,111,128
ENSG00000141574,6822,5509.6667,6004,4329,3550,4804.5,4071.3333,4442.1667,5484.1667,9676,3166.5,3712,3439.5,5355
ENSG00000181396,1981,1807,1970,1433,1142.5,1806.5,1445.5,1520.75,1569.3333,3539,1185.5,1791,1317,1901
ENSG00000178927,26288.8334,25898.7818,25088.6667,18878.6429,16021.125,22432.6667,17798.6667,22550.2917,19871.2778,47110.9584,13911.4445,18539.1667,15249.1445,20145.6
ENSG00000141580,5790.3333,5292.6667,5527.1667,4167.6667,4789.3333,5636.8333,4919.5,4071.3333,4557.6667,4683.5,3595,5078,4888,6166.6667
ENSG00000204237,1335,1302,1164,1184,768,1206,940,1414,887,1448,935,1301,836,1044
ENSG00000214087,958,780,676,620,644,668,504,753,667.5,1031,569,811,591,890
ENSG00000225663,1713,2618,1952.5,3026.5,1414,2803,1894,2790.5,1695,6645,2538.5,3811,1973.6667,2848
ENSG00000182676,14,14,11,10,5,10,8,26,12,51,27,7,21,34
ENSG00000185624,59556.6667,50266,55508.5,36744,40348,53241.5,43226,37351.5,44836,64934,26533.75,41499,40512,53833.8333
ENSG00000134757,0,0,0,0,0,0.6667,4,0,2.3333,0,0,0,1,0
ENSG00000046604,1,7,0,0,3,3,0,0,0,3.5,0,7,4,12
ENSG00000118271,0,0,2,0,1,0,0,0,0,9,0,0,0,0
ENSG00000108604,8678.5,8547.5,8457,6357,6328.6667,8289.5,6656.5,6165,6656,9849,4867.5,6574.5,5620.5,7658.5
ENSG00000225190,9579,9451.5,10415.8333,7455.5,7106.1667,9826,8321.5,7182,8212.25,15618.5,5636.8333,7337.8333,6982.8333,9482.25
ENSG00000120071,15069,13579.5,15288,8945,9225.5,10279.5,10844,11209.5,13781.5,14298.8333,8977.5,9581,9480.5,14300.5
ENSG00000228696,1513.6881,1133.9262,1240.1857,464.0619,661.1333,668.2381,680.5024,924.8095,1222.5214,1453.8095,586.8833,731.6333,617.6548,988.775
ENSG00000185829,3670.5833,2842.15,3243.3333,1255.9333,1769.6333,1764.1,2096.6167,2533.3833,3385.1952,2949.5262,1563.2333,1704.1,1922.1333,2751.1417
ENSG00000108379,53,54,60,16,19,10,23,33,59,31.2,18,12,8,53
ENSG00000170832,11785.8333,10189.4167,11825,7322,10530.6667,11893,9631.6667,8117.9167,10601.6667,6058.6667,7384.3333,10433.5,10681.2833,13319.3333
ENSG00000062725,4904,4492.6667,4718,3002,3685,3808,3450,3905.5,4803,2973.5,3597.5,4144.5,3917,4880.5
ENSG00000253506,5.5,4,1,2.5,0,1.5,0,5.3333,2,0,0.5,2.1667,3.6667,2.5
ENSG00000136492,1476,1077,941,667,585,700,710,1015,1200.1,456,728.1429,596,726.5,1154.5
ENSG00000108506,1964,1718,1712.5,1124,1428,1438,1265,1628,1949,985,1351,1636,1375,1817
ENSG00000120063,22171,18615,20135.5,13719,21394,20712.5,18813.5,16746.1667,20401.5,9211,14647.5,20567,21602.5,25782
ENSG00000168646,6,11,18,6,7,11,16,4,8,23,2,4,9,15
ENSG00000266076,5,5,5,0,3,3,4,2,3,0,0,1,3,1
ENSG00000154240,199,131,118,87.5,124,116,96,91,150,98.5,131,147,107.1429,138
ENSG00000091583,0,0,0,0,0,0,10,NA,NA,NA,NA,NA,NA,NA
ENSG00000204316,2248.8333,2107.5,2241,1513.5,1380,1800.5,1674,1617.5,1726,3514,1232.5,1652.5,1392,1975
ENSG00000183010,13,5,2,4,3,14,4,11,4,27,0,14,4,13
ENSG00000185105,0,0,0,1,0,0,0,0,0,8,0,5,2,3
ENSG00000185269,37,32,40,17,12,45,18,24,17,78.5,3,24,12,14
ENSG00000169689,824,771,796.75,578,538,784,606,628,616,1066,695,792,619,647
ENSG00000169738,1590.5,1367,1660,1085,1099,1244,1107,824,927.5,2115,771,951,839,901
ENSG00000141542,73,62,54,11,17,47,50,23,55,78,23,33,46,25
ENSG00000141579,89,58,66,76,42,55,69,136,77,259,57,61,36,124
ENSG00000175711,495,407,517,341,453,459.5,309,372.5,418,779,290,407,344.5,326
ENSG00000101557,4694,4361,4261.5,3126.5,4609.5,4226,3770,4040,4553,2733,3750,4562,4708,5908
ENSG00000173757,7476,7081.5,7405,5440.5,5619.5,6891.5,6703,5771,5895.5,8812.5,4718.5,6556.5,5923.5,7927.5
ENSG00000168610,85501.2917,74314.8333,82102.75,59397,72282.5,88599.8333,77473,60355.6667,71022.5,73924,54831,75797.9167,75004.3333,102701.0833
ENSG00000177469,487,440,406,429,234,328,413,464,440,1061,288,426,274,457.5
ENSG00000131470,665,481,509,189,551,442,365,408,566,406,212,449,439,616
ENSG00000141699,9364,8696,8657,6274,7365,8209,6648.5,7606.5,7378.1667,9283,6010,8406.5,6691,9220
ENSG00000108950,31502.5,27871,32452.5,22666.5,26475.6667,33722.5,29288.8333,20252,27071.5,44385,18456,24955,26796,37302
ENSG00000141338,8,2,3,1,5,2,0,9,2,7,0,0,3,3
ENSG00000070526,0,0,0,0,0,1,0,0,0,0,0,0,1,0
ENSG00000182534,305.5,237.5,263.8333,149.5,301,302.5,274.5,160.3333,218.5,416,191,240.5,275,387
ENSG00000070495,3648,3477,3838,3455,3450,4193,3384,3225,2862,4037.6667,3249,5199,3405,4199.1429
ENSG00000161547,16013.5,12629.3333,14036.6667,11202,12823,13981.5,11910,11045.5,10834.5,12057,9579.1667,12910,12262.5,15661.8333
ENSG00000204345,15,6,8,6,16,25,13,12,13,27,14,2,13,14
ENSG00000186407,36332.5,31076,36117.5,23841.9,28998,37374,28427,23555.8333,30804,30007.5,22895.5,34246.5,29677,35796.1429
ENSG00000186074,1587.5,1467.6667,1619.5,1144,1054,1295.5,1069,983.3333,1417,1459.3333,646.6667,1069,1080,1222
ENSG00000109065,967,1086,981.5,1041.5,636,696,543,1223.5,817,1685,901,1039,490,730
ENSG00000161509,108,101,163,65,20,96,23,51,101,439,39,53,30,42
ENSG00000108510,42656,35406.5,41059,26231,41946.5,38528.3333,34021.5,29577.8333,36945,17310,30736,36294.5,37952.25,46728
ENSG00000008283,362,369.1429,395,345,321,407,242,428,289,581,217,411,289.5,352
ENSG00000266173,6490,5200,5899.5,3150.5,4186,4254,4017,4016.5,4925.8333,6438.5,2947,3787.5,3909.5,5068.1667
ENSG00000136490,3224,3233.5,3609,2570.5,1960,3335,2450,2463,2395,5946,1998,2833,1984,2791
ENSG00000270379,315,196,344.6667,220,713.3333,460,303.5,174,215.5,347,306,564,504.5,549.5
ENSG00000271503,425742.1583,365256.4286,360020.771,210283.5857,296614.2683,361190.8643,288827.504,211672.6774,398094.4456,358684.6798,201962.7778,256625.6476,324947.2048,412603.8643
ENSG00000278023,4,17,8,4,21,14,21,19,16,26,0,16,8,14
ENSG00000154258,43,20,34,17,48,27,14,27,27,10,2,18,21,35
ENSG00000154262,267,195.5,216,171,287.5,261,174,151,257,146,230.5,220,272,302
