Gene,Symbol_donor1_rep1,t_0m_nascent_readcount_donor1_rep1,t_15m_nascent_readcount_donor1_rep1,t_30m_nascent_readcount_donor1_rep1,t_60m_nascent_readcount_donor1_rep1,t_90m_nascent_readcount_donor1_rep1,t_105m_nascent_readcount_donor1_rep1,t_120m_nascent_readcount_donor1_rep1,Symbol_donor1_rep2,t_0m_nascent_readcount_donor1_rep2,t_15m_nascent_readcount_donor1_rep2,t_30m_nascent_readcount_donor1_rep2,t_60m_nascent_readcount_donor1_rep2,t_90m_nascent_readcount_donor1_rep2,t_105m_nascent_readcount_donor1_rep2,t_120m_nascent_readcount_donor1_rep2
ENSG00000243156,MICAL3,6.76195,5.25245007,3.5104332899999995,15.84683305,10.683,8.972,6.2976,MICAL3,12.1485,0,0,1.519,9.23679984,10.4115,3.7815
ENSG00000274252,GGTLC3,NA,0,0,NA,0,0,NA,GGTLC3,0,NA,0,NA,NA,0.53057641,0
ENSG00000275793,RIMBP3,1.92883215,0.7487999999999999,0,0,0,0,2.3104,RIMBP3,0,0.12299994,0.36969766,1.09376806,0,0.71750205,0.37665
ENSG00000183307,TMEM121B,0,3.267,0.4002,9.3984,0.5852,4.234400000000001,0,TMEM121B,3.7347,1.5563000000000002,0,1.173,0.972,0,2.7913
ENSG00000069998,HDHD5,5.454725,3.4044,0,5.6628,9.0579,5.816800000000001,2.5545,HDHD5,0,0,0.9582,8.4357,1.743,0,0
ENSG00000093072,ADA2,148.1536,68.9346,105.2584,75.08025,71.1346666,94.62786658,79.02208325,ADA2,52.63285,86.77735,68.03678327,39.8816,61.1910834,87.69843342,88.0646666
ENSG00000073169,SELENOO,11.1452,14.8618,0.95725,14.09725,6.6462,5.46315,2.6590000000000003,SELENOO,10.62315,7.835450000000001,4.772,3.2708,0,8.06785,14.4302
ENSG00000100239,PPP6R2,20.3088,19.3908,10.3554,14.1267,8.6775,18.9739,12.62505,PPP6R2,11.5,9.5151,8.44075,5.27175,4.5346,5.9255,22.815
ENSG00000128165,ADM2,32.0112,18.68295,16.4034,23.4016,21.2496,22.6526,13.0284,ADM2,13.4808,27.1216,30.9904,20.5208,20.3472,14.1114,17.3159
ENSG00000025770,NCAPH2,7.539999999999999,0,1.5059,2.7669,6.0120000000000005,6.527200000000001,8.7945,NCAPH2,4.538399999999999,5.6384,11.094,0,5.716799999999999,1.6779,0
ENSG00000184164,CRELD2,0,3.5532000000000004,0,3.878,0,0,3.0414999999999996,CRELD2,1.5849,0,1.6881,0,1.7735999999999998,1.4876999999999998,0
ENSG00000198355,PIM3,135.97675,256.09079979,246.6673,284.07539979,126.5616,245.649,232.713,PIM3,143.64365,124.9749,255.1497,248.17300000000003,138.33583346,147.0285,121.6608
ENSG00000073146,MOV10L1,0,NA,NA,0,NA,NA,NA,MOV10L1,NA,0,NA,0,NA,NA,0
