Gene,ENSG,logFC,logCPM,F,PValue,FDR
INHBA,ENSG00000122641,1.3077056803492537,8.104574111419376,11.259695611536799,0.004299606414065341,0.4105489554656795
PILRA,ENSG00000085514,1.5117939159605984,6.678503887973689,11.258573350047365,0.004302875427439329,0.4105489554656795
MS4A7,ENSG00000166927,1.5551433949671158,6.54722351375669,11.191554241055073,0.004392959994991887,0.4125950395296286
MYO19,ENSG00000278259,2.732510972876733,4.8188797857088606,10.926953526035462,0.004654916037468321,0.4304723123264935
ADAMTS4,ENSG00000158859,1.4831105277941627,6.537150152877441,10.751317337026613,0.005036123779674074,0.45392259851181355
NME2,ENSG00000243678,2.9476590692711975,4.950133419189315,10.641759035645855,0.0050862128890519585,0.45392259851181355
ANKRD36C,ENSG00000174501,4.622082171041848,4.084644802762458,10.580514185635572,0.005135041873033326,0.45392259851181355
GRK3,ENSG00000100077,-1.3696685284591106,6.881720010628351,10.58223656418108,0.0053097589006064596,0.46256464857312213
CMKLR1,ENSG00000174600,-1.2052780404543704,7.855314527375192,10.504574089844779,0.00544086037698763,0.46537057029740303
MSI2,ENSG00000153944,2.730519157649017,4.952920507163337,10.420868989161566,0.00549680760125031,0.46537057029740303
ZFX,ENSG00000005889,1.1695822438190262,7.948095389236055,10.420254263551069,0.00558852231245424,0.4656246614136396
EHF,ENSG00000135373,1.3410881620808799,6.997421549475899,10.383784773585587,0.005654733036632123,0.4656246614136396
DLAT,ENSG00000150768,-3.779825503888007,4.324277683666765,9.892650981284618,0.005970813192399153,0.48500754188528794
DVL3,ENSG00000161202,1.192403255224382,7.635421414175811,10.122039894978476,0.0061489650251651895,0.49281905021690603
CHEK2,ENSG00000183765,2.3189109247723776,5.128004246418687,9.991676584419231,0.0063977925760085935,0.5022890455806445
NDUFB8,ENSG00000166136,-4.467147706693465,4.026766855682973,9.769772184022898,0.006577288072822883,0.5022890455806445
MGST3,ENSG00000143198,-2.183515075368129,5.265968875479554,9.917254221028204,0.006579717613630068,0.5022890455806445
IFNAR2-IL10RB,ENSG00000249624,-1.214516029424294,8.786599791815256,9.898793986200221,0.00661018558999645,0.5022890455806445
IFIT2,ENSG00000119922,1.219458942945467,7.54600488452503,9.864527183340238,0.006684931566536608,0.5022890455806445
PXN,ENSG00000089159,-1.5393391169104753,6.399860090541641,9.826061402384063,0.006772721138688281,0.5026027995636452
GBP5,ENSG00000154451,1.5507042695966422,6.305301462649601,9.78394873428269,0.00686815064524886,0.5034689454706208
MBD3,ENSG00000071655,2.2036322739215986,5.281659410797575,9.702587549607486,0.00705182569804753,0.5107051116983579
IER3,ENSG00000137331,1.0386447805336876,10.36227113642892,9.626855573200562,0.0072267890255136346,0.5171455813376483
IL10RB,ENSG00000243646,-1.2248897976707358,8.91369756276376,9.515231902851706,0.007498896227839571,0.5303042967711019
CIPC,ENSG00000198894,-3.1295058388378623,4.349546730510014,9.292926436209347,0.007607124818593114,0.5314657846122212
ZFP36L1,ENSG00000185650,-1.1174246162276262,8.640968873199917,9.386127138674214,0.00782826169214818,0.5314657846122212
SAP30BP,ENSG00000161526,1.5823187005556247,6.09721045907663,9.386280390168862,0.007835979404232432,0.5314657846122212
RASGEF1B,ENSG00000138670,1.200775138144165,7.2936771545492,9.370696028448597,0.007869451353672414,0.5314657846122212
