Gene,ENSG,logFC,logCPM,F,PValue,FDR
PNPLA2,ENSG00000177666,0.16861993942466896,6.676614669983982,1.074167377243439,0.32074830537935267,0.6308099445208797
TINF2,ENSG00000092330,0.14249915929904056,6.134440222676043,1.073967213360681,0.32079150514302124,0.6308099445208797
HMGN1,ENSG00000205581,-0.15060792435652504,6.566911387989417,1.0737522249912486,0.32083791350934726,0.6308099445208797
NA,ENSG00000269755,-0.9218694397204265,-2.892884618305503,1.0740040547121648,0.3208594629180293,0.6308099445208797
NA,ENSG00000285645,-0.264450463647266,0.31740746861797337,1.0736529884042936,0.3208599639105639,0.6308099445208797
DNTTIP1,ENSG00000101457,0.1744424993661153,4.85707864545445,1.073486342745955,0.3208953220464622,0.6308099445208797
SORD,ENSG00000140263,-0.19168919458718126,2.757543798519903,1.0726267013920454,0.32108104432364937,0.6310364100894309
CWC15,ENSG00000150316,0.16989879053838178,4.695537866241334,1.0718693532275976,0.32124477088464626,0.6310364100894309
RPL34,ENSG00000109475,0.1981997640549053,5.709733995044367,1.0718469029285442,0.3212496258073206,0.6310364100894309
TEX261,ENSG00000144043,-0.15393107877695045,5.317615047764241,1.0717860938345296,0.3212627783638476,0.6310364100894309
ADD2,ENSG00000075340,0.33817620320484976,-0.3385569057571631,1.0717820460883698,0.3212650813205024,0.6310364100894309
SRA1,ENSG00000213523,-0.16562509081271112,4.206793988574487,1.0717136759293873,0.3212784439989708,0.6310364100894309
SLC25A28,ENSG00000155287,0.13712674568767808,6.674504577086983,1.0704891878665963,0.3215434695408084,0.6314691928224992
FBXO8,ENSG00000164117,0.15802803860054565,4.219097246016141,1.0693815893267662,0.3217834686230596,0.6316288173975831
TMEM115,ENSG00000126062,0.1740103667996888,5.381533469851933,1.0693618366092543,0.3217877496694379,0.6316288173975831
DLG3,ENSG00000082458,0.9880032112691918,-3.3248954805183897,1.0690499593925598,0.3218138702934221,0.6316288173975831
PGGHG,ENSG00000142102,-0.20086733660265402,3.647775970671445,1.0688540177385701,0.3218978765632909,0.6316288173975831
SNRPB2,ENSG00000125870,0.16542640838019995,4.899368385029517,1.0685990102279344,0.3219531936321257,0.6316288173975831
MYL12B,ENSG00000118680,0.14155461896179197,6.773193281709918,1.0683094693831539,0.32201602124581485,0.6316288173975831
TMEM116,ENSG00000198270,-0.21231308353510395,1.7961171979583093,1.0681171314699403,0.3220579136452848,0.6316288173975831
